Customer_ID,Age,Income_Level,Location,Purchase_Intent,Price_Sensitivity,Charging_Access,Distance_to_Supercharger,Import_Duty_Impact,Local_Manufacturing_Support,Brand_Loyalty,Environmental_Concern,Tech_Savviness,Competitor_Price,Government_Incentive_Awareness
28,38,17.34,Mumbai,0.529,0.386,Home,23.94,0.4,0,Competitor,0.826,Medium,57.07,Low
29,28,27.77,Delhi,0.306,0.27,Home,0.05,0.497,1,Competitor,0.774,High,48.32,High
30,32,37.85,Hyderabad,0.078,0.571,None,20.33,0.456,0,Competitor,0.566,Low,63.8,Medium
31,28,48.25,Gurugram,0.544,0.195,Public,93.78,0.381,1,Competitor,0.691,Medium,69.52,Low
32,53,10.0,Bangalore,0.232,0.502,Home,17.13,0.665,1,Neutral,0.585,High,64.96,High
33,34,23.32,Pune,0.335,0.274,None,13.71,0.859,1,Competitor,0.473,Medium,62.47,Low
34,24,10.0,Gurugram,0.594,0.149,None,123.03,0.932,1,Tesla,0.466,Medium,71.84,Low
35,43,33.54,Mumbai,0.199,0.198,Home,30.55,0.557,1,Neutral,0.775,Medium,75.0,Medium
36,22,33.13,Gurugram,0.422,0.733,None,14.63,0.778,1,Competitor,0.963,Medium,52.97,High
37,37,31.12,Chennai,0.106,0.17,Public,22.52,0.613,1,Competitor,0.695,Medium,62.56,Medium
38,18,27.67,Gurugram,0.423,0.037,None,11.73,0.335,0,Tesla,0.227,Medium,69.27,Medium
39,21,23.68,Chennai,0.136,0.364,Public,29.05,0.817,0,Tesla,0.819,High,45.0,Low
40,36,31.23,Delhi,0.463,0.463,None,35.32,0.943,0,Tesla,0.69,Medium,54.59,Low
41,42,49.09,Gurugram,0.546,0.317,Public,27.7,0.189,0,Neutral,0.649,Low,56.69,Medium
42,36,25.09,Delhi,0.455,0.366,Home,10.83,0.834,0,Neutral,0.484,Low,55.65,Medium
43,33,12.63,Gurugram,0.544,0.214,None,51.87,0.631,1,Competitor,0.677,Low,55.14,Low
44,31,40.72,Delhi,0.317,0.169,Home,60.66,0.91,1,Competitor,0.821,Medium,75.0,Low
45,20,57.02,Hyderabad,0.335,0.437,None,35.62,0.67,1,Competitor,0.676,Medium,50.33,High
46,27,12.07,Bangalore,0.6,0.253,Home,2.55,0.963,1,Tesla,1.0,High,60.64,High
47,30,10.4,Gurugram,0.596,0.18,Home,11.44,0.188,1,Competitor,0.436,High,45.0,High
48,45,11.69,Delhi,0.199,0.223,None,21.46,0.233,1,Competitor,0.432,High,58.93,Low
49,38,30.9,Bangalore,0.406,0.163,None,67.22,0.366,0,Competitor,0.451,Medium,65.47,High
50,18,94.72,Hyderabad,0.428,0.306,None,9.98,0.744,1,Neutral,0.668,Medium,65.3,Medium
51,38,85.08,Gurugram,0.233,0.233,None,10.98,0.334,1,Tesla,0.877,Medium,60.17,Medium
52,31,40.82,Bangalore,0.536,0.379,None,2.96,0.103,0,Competitor,0.787,Low,66.73,Medium
53,28,11.42,Bangalore,0.425,0.164,Home,36.77,0.265,1,Tesla,0.322,Medium,59.46,Medium
54,41,84.45,Chennai,0.403,0.5,Home,26.2,0.783,1,Neutral,0.393,Low,68.1,High
55,45,87.39,Delhi,0.644,0.329,Public,82.9,0.977,1,Competitor,0.8,High,54.85,Low
56,44,16.71,Pune,0.709,0.348,Home,134.72,0.177,0,Competitor,0.562,Medium,51.45,Low
57,26,33.85,Mumbai,0.306,0.198,Home,3.12,0.927,1,Competitor,0.629,High,60.36,Low
58,31,56.82,Hyderabad,0.379,0.186,None,10.05,0.005,0,Neutral,0.782,Low,45.18,Low
59,38,77.24,Chennai,0.149,0.16,None,7.62,0.517,0,Tesla,0.656,High,65.26,Medium
60,44,30.26,Delhi,0.523,0.276,None,29.08,0.086,1,Neutral,0.368,High,45.61,High
61,30,60.77,Chennai,0.337,0.371,None,7.61,0.979,1,Tesla,0.462,High,50.0,High
62,33,43.68,Pune,0.107,0.185,None,82.05,0.566,0,Neutral,0.69,High,55.73,Medium
63,23,42.0,Chennai,0.588,0.325,None,,0.311,0,Competitor,0.788,High,52.6,Low
64,23,39.3,Mumbai,0.314,0.652,Public,20.18,0.938,1,Competitor,0.708,Medium,63.65,Low
65,43,97.65,Mumbai,0.306,0.507,None,33.13,0.549,1,Tesla,1.0,High,62.37,Medium
66,48,35.32,Pune,0.541,0.397,Public,122.56,0.989,0,Neutral,0.61,High,60.34,Low
67,34,47.62,Bangalore,0.5,0.22,None,18.12,0.6,1,Competitor,0.448,High,67.41,Low
68,45,98.03,Gurugram,0.256,0.228,Home,12.38,0.988,0,Tesla,0.654,Medium,59.5,High
69,38,50.01,Hyderabad,0.45,0.075,,12.05,0.712,1,Competitor,0.353,Low,63.53,Medium
70,28,22.34,Chennai,0.258,0.077,Public,8.83,0.796,1,Competitor,0.586,Medium,54.69,Low
71,38,32.6,Chennai,0.442,0.168,None,18.1,0.503,1,Competitor,0.587,Medium,62.79,Low
72,50,18.06,Chennai,0.264,0.035,None,33.21,0.662,1,Neutral,1.0,High,53.37,Medium
73,34,32.2,Gurugram,0.285,0.141,None,91.19,0.031,1,Competitor,0.523,Medium,73.11,Medium
74,50,30.29,Chennai,0.257,0.127,None,10.92,0.112,1,Competitor,0.412,Medium,59.33,Low
75,18,25.38,Mumbai,0.418,0.208,Home,13.16,0.114,1,Neutral,0.901,Low,62.35,Medium
76,43,39.34,Hyderabad,0.556,0.475,None,101.8,0.445,1,Neutral,1.0,Low,52.68,Low
77,35,10.0,Hyderabad,0.365,0.379,None,1.83,0.743,1,Competitor,0.731,High,46.04,Low
78,32,112.08,Pune,0.285,0.493,Home,128.0,0.823,1,Tesla,0.749,Medium,56.32,Medium
79,35,30.75,Gurugram,0.185,0.328,None,13.14,0.964,1,Tesla,0.419,High,64.81,Low
80,18,33.96,Chennai,0.255,0.038,Home,28.63,0.11,0,Tesla,0.617,High,63.88,Low
81,32,83.5,Bangalore,0.492,0.153,Home,10.84,0.601,1,Tesla,0.342,Low,63.96,Low
82,38,49.53,Chennai,0.668,0.212,Home,15.9,0.372,1,Competitor,0.869,Low,58.22,Low
83,49,24.91,Gurugram,0.285,0.289,None,7.42,0.22,1,Competitor,0.631,High,62.06,Medium
84,29,27.61,Gurugram,0.358,0.127,None,4.97,0.724,1,Neutral,1.0,High,75.0,Medium
85,26,68.41,Gurugram,0.314,0.199,Public,108.06,0.324,1,Competitor,1.0,High,47.01,Medium
86,29,74.8,Delhi,0.634,0.226,None,27.67,0.232,1,Competitor,0.648,High,62.92,Low
87,44,22.88,Chennai,0.399,0.609,Home,2.6,0.611,1,Tesla,0.839,Medium,62.43,Low
88,38,82.19,Delhi,0.206,0.153,Home,10.36,0.693,1,Tesla,1.0,Low,66.05,Low
89,29,10.0,Bangalore,0.209,0.115,None,49.74,0.013,1,Competitor,0.699,High,61.93,High
90,40,89.46,Mumbai,0.279,0.228,Home,20.94,0.525,0,Competitor,0.655,Medium,57.96,Medium
91,35,44.2,Delhi,0.314,0.293,Public,37.69,0.201,1,Competitor,0.719,High,52.66,Low
92,44,81.5,Bangalore,0.379,0.166,Home,2.59,0.322,1,Competitor,0.722,Medium,66.23,Medium
93,27,53.14,Bangalore,0.264,0.406,None,14.66,0.747,0,Tesla,0.612,High,62.37,High
94,31,24.03,Delhi,0.264,0.524,None,69.7,0.65,0,Competitor,0.943,High,56.07,Medium
95,31,31.93,Delhi,0.051,0.056,None,19.16,0.549,1,Tesla,0.604,High,54.69,Low
96,20,24.73,Pune,0.392,0.206,None,8.73,0.63,1,Tesla,0.338,Medium,56.94,Low
97,37,19.47,Bangalore,0.267,0.337,None,1.23,0.592,1,Tesla,0.628,Medium,65.55,High
98,37,48.06,Hyderabad,0.579,0.213,Public,22.09,0.277,1,Neutral,0.468,Low,59.2,Medium
99,35,10.0,Bangalore,0.4,0.106,Home,36.25,0.676,0,Competitor,0.382,Medium,58.12,High
100,32,30.49,Pune,0.469,0.356,None,17.49,0.256,1,Neutral,0.642,High,52.07,Low
101,20,36.85,Delhi,,0.18,None,4.26,0.899,1,Tesla,0.595,High,62.35,High
102,30,10.0,Delhi,0.571,0.366,Home,21.93,0.164,1,Competitor,0.414,Medium,47.28,Low
103,31,43.41,Hyderabad,0.176,0.236,,17.58,0.866,1,Neutral,0.432,Medium,45.0,Low
104,26,53.01,Gurugram,0.352,0.293,Home,54.61,0.514,1,Competitor,0.528,Medium,75.0,Low
105,33,47.77,Delhi,0.382,0.434,None,53.0,0.706,1,Competitor,0.28,High,57.69,Medium
106,39,47.28,Mumbai,0.235,0.348,None,13.24,0.03,1,Tesla,0.747,Medium,57.4,Medium
107,53,37.53,Gurugram,0.316,0.231,Home,15.99,0.843,1,Neutral,0.799,Low,62.23,Medium
108,36,15.18,Mumbai,0.472,0.17,None,7.05,0.873,1,Neutral,0.902,Medium,72.08,Medium
109,37,10.0,Delhi,0.442,0.19,None,9.38,0.305,0,Competitor,1.0,High,53.15,Low
110,34,29.84,Gurugram,0.164,0.092,Public,49.42,0.696,0,Neutral,0.797,Medium,67.9,High
111,18,23.93,Pune,0.3,0.188,Public,87.54,0.017,1,Competitor,0.676,Medium,63.02,High
112,34,36.79,Bangalore,0.149,0.084,None,55.08,0.808,1,Competitor,0.839,Medium,56.59,Low
113,35,18.62,Gurugram,0.148,0.345,Public,10.88,0.879,1,Competitor,0.756,Medium,67.58,High
114,59,70.94,Chennai,0.455,0.237,None,29.35,0.448,1,Competitor,0.686,Medium,63.62,Low
115,33,10.0,Mumbai,0.363,0.316,None,22.27,0.036,1,Competitor,0.755,Low,62.66,Low
116,38,21.55,Hyderabad,0.554,0.104,Home,26.17,0.28,1,Competitor,0.342,Medium,50.28,High
117,34,28.8,Chennai,0.565,0.343,None,5.1,0.693,0,Competitor,0.469,Low,59.84,Low
118,23,48.16,Hyderabad,0.18,0.165,None,61.86,0.321,1,Competitor,0.828,High,53.03,Low
119,46,48.33,Gurugram,0.075,0.557,None,22.78,0.797,1,Neutral,0.39,High,60.41,Medium
120,42,63.93,Delhi,0.285,0.054,Home,17.35,0.025,1,Tesla,0.621,Medium,58.69,Medium
121,42,57.92,Hyderabad,0.517,0.355,Home,23.51,0.832,1,Neutral,0.869,High,65.3,High
122,25,30.22,Chennai,0.346,0.682,None,38.71,0.983,1,Neutral,0.643,Medium,56.59,High
123,49,61.11,Delhi,0.471,0.304,None,25.73,0.562,1,Neutral,0.283,High,58.85,Low
124,20,30.49,Hyderabad,0.278,0.523,Home,34.58,0.28,0,Competitor,0.91,Medium,65.85,Low
125,40,10.0,Hyderabad,0.415,0.347,Home,2.93,0.06,1,Tesla,0.847,High,51.28,Medium
126,56,10.0,Pune,0.279,0.219,Home,10.78,0.118,1,Neutral,0.863,Medium,47.59,Medium
127,25,28.13,Gurugram,0.345,0.55,None,21.92,0.92,1,Competitor,1.0,Medium,58.36,Medium
128,29,14.16,Chennai,0.452,0.233,Home,38.51,0.655,1,Competitor,0.926,Low,68.01,Low
129,35,32.02,Bangalore,0.46,0.32,,29.07,0.125,1,Neutral,0.752,High,59.5,Low
130,29,59.11,Chennai,0.327,0.289,None,2.36,0.336,0,Tesla,0.847,Low,71.4,Low
131,19,26.05,Bangalore,0.217,0.346,Public,70.75,0.626,0,Tesla,0.844,High,56.1,Low
132,35,10.0,Delhi,0.429,0.532,None,21.27,0.317,0,Competitor,0.05,Medium,57.07,High
133,24,50.34,Chennai,0.319,0.359,Public,51.03,0.885,0,Competitor,0.835,Medium,52.08,Low
134,39,23.94,Hyderabad,0.504,0.588,None,101.14,0.048,0,Tesla,0.384,Medium,54.02,Medium
135,25,28.78,Hyderabad,0.337,0.469,None,4.59,0.864,1,Competitor,0.449,Medium,63.77,Medium
136,50,133.27,Gurugram,0.545,0.133,None,33.03,0.088,0,Competitor,0.9,High,58.37,High
137,27,63.99,Bangalore,0.243,0.145,None,24.4,0.751,1,Neutral,0.668,Low,73.03,Low
138,31,74.61,Bangalore,0.266,0.293,Home,4.82,0.134,1,Neutral,0.441,Medium,64.51,Low
139,43,26.59,Hyderabad,0.438,0.196,Public,16.92,0.501,0,Neutral,0.729,Medium,62.37,Medium
140,22,114.61,Hyderabad,0.208,0.449,None,2.44,0.427,1,Competitor,0.542,Medium,52.78,Low
141,37,16.71,Mumbai,0.655,0.207,None,4.02,0.595,1,Competitor,0.607,High,67.02,Low
142,48,10.0,Bangalore,0.207,0.308,None,2.13,0.998,1,Competitor,0.489,High,61.53,Low
143,18,127.98,Delhi,0.047,0.118,None,28.37,0.761,1,Competitor,0.729,Low,59.22,Medium
144,36,10.0,Pune,0.346,0.321,Public,30.75,0.15,0,Tesla,0.708,Medium,54.99,High
145,37,24.05,Gurugram,0.415,0.288,None,23.17,0.503,1,Competitor,0.641,High,47.76,Low
146,42,50.9,Delhi,0.545,0.396,Public,32.33,0.279,0,Competitor,0.478,Medium,67.02,High
147,22,26.86,Mumbai,0.417,0.039,Home,52.58,0.554,1,Tesla,0.902,Medium,65.88,Medium
148,21,20.36,Delhi,0.613,0.494,Home,7.57,0.125,1,Tesla,0.742,Medium,65.49,Medium
149,40,35.35,Delhi,0.233,0.494,Home,39.05,0.746,0,Competitor,0.647,Medium,68.94,High
150,37,33.71,Delhi,0.234,0.48,Public,3.92,0.824,0,Tesla,0.737,High,60.32,Low
151,37,38.49,Delhi,0.402,0.178,Public,26.75,0.151,1,Neutral,0.518,Medium,69.16,High
152,38,79.33,Chennai,0.408,0.237,Public,49.91,0.928,1,Tesla,0.647,High,60.8,Low
153,28,52.95,Bangalore,0.365,0.627,Home,126.35,0.891,1,Neutral,0.632,High,68.92,Low
154,37,29.52,Chennai,0.319,0.088,None,24.02,0.814,1,Competitor,0.523,High,58.77,Medium
155,37,42.26,Bangalore,0.117,0.206,None,2.75,0.727,1,Neutral,1.0,Low,49.14,Medium
156,27,10.0,Pune,0.258,0.143,Home,17.07,0.695,1,Competitor,0.608,Medium,45.0,Low
157,53,31.13,Gurugram,0.622,0.233,None,17.49,0.242,1,Neutral,0.725,High,48.75,Medium
158,39,44.76,Bangalore,0.357,0.416,None,21.03,0.835,1,Neutral,0.907,Low,61.13,Low
159,23,18.66,Mumbai,0.173,0.504,Home,30.52,0.558,1,Competitor,0.8,Medium,67.23,Medium
160,41,24.69,Delhi,0.455,0.236,None,52.86,0.33,1,Tesla,0.742,Medium,74.32,High
161,25,64.21,Mumbai,0.608,0.218,Home,79.0,0.152,1,Neutral,0.538,High,55.53,Medium
162,42,13.94,Bangalore,0.521,0.225,Home,55.89,0.732,0,Tesla,0.746,Medium,55.2,Low
163,46,65.39,Hyderabad,0.455,0.164,None,33.58,0.179,1,Competitor,0.609,High,75.0,Medium
164,26,98.39,Chennai,0.26,0.358,None,2.61,0.943,1,Competitor,0.7,High,48.72,Medium
165,44,25.25,Delhi,0.566,0.096,None,7.05,0.946,1,Neutral,0.568,Low,67.14,Medium
166,39,14.14,Pune,0.235,0.354,None,72.8,0.76,1,Competitor,0.509,High,54.37,Medium
167,43,19.5,Mumbai,0.524,0.063,None,30.15,0.753,1,Neutral,0.547,High,56.43,Low
168,53,93.79,Delhi,0.121,0.043,None,56.58,0.463,0,Competitor,0.541,Medium,65.09,Medium
169,32,13.39,Hyderabad,0.612,0.299,Public,27.58,0.991,1,Competitor,0.316,High,63.04,Low
170,27,14.18,Delhi,0.533,0.218,Home,45.15,0.326,1,Competitor,0.829,Medium,54.1,Medium
171,26,10.0,Hyderabad,0.321,0.413,None,44.11,0.697,1,Competitor,0.746,Medium,56.66,Low
172,26,24.28,Gurugram,0.576,0.329,Home,59.42,0.662,1,Neutral,0.842,Medium,70.78,Low
173,34,39.42,Pune,0.016,0.258,None,2.72,0.264,1,Tesla,0.499,High,45.0,High
174,38,85.54,Delhi,0.19,0.239,Public,71.49,0.584,0,Tesla,0.596,Medium,60.92,Low
175,37,26.1,Chennai,0.242,0.171,Home,150.0,0.423,0,Neutral,0.586,Medium,63.32,High
176,43,49.79,Bangalore,0.549,0.317,Public,7.8,0.668,1,Tesla,0.779,Medium,60.66,Low
177,35,19.85,Gurugram,0.351,0.265,None,30.85,0.507,1,Neutral,0.334,Medium,49.94,Low
178,49,11.86,Gurugram,0.255,0.354,Home,1.58,0.27,1,Competitor,0.685,High,52.55,High
179,32,77.76,Mumbai,0.21,0.076,None,58.04,0.164,0,Neutral,0.812,Medium,67.2,Low
180,62,38.59,Gurugram,,0.438,,3.76,0.242,0,Competitor,0.85,High,67.53,Low
181,41,52.82,Delhi,0.272,0.241,Public,8.02,0.589,1,Competitor,0.506,Medium,61.27,Medium
182,26,37.73,Bangalore,0.273,0.539,None,26.88,0.18,1,Tesla,0.592,High,61.51,High
183,24,10.0,Bangalore,0.225,0.225,Public,150.0,0.252,0,Competitor,0.627,High,58.5,Low
184,39,63.94,Bangalore,0.153,0.184,None,60.07,0.089,1,Neutral,0.798,Medium,54.33,High
185,32,18.83,Pune,0.428,0.095,None,60.0,0.895,1,Neutral,0.743,Medium,69.0,Medium
186,42,47.86,Bangalore,0.355,0.421,Home,40.72,0.024,0,Competitor,0.725,Medium,71.44,Medium
187,39,12.51,Pune,0.3,0.155,None,36.0,0.17,0,Competitor,0.753,Low,55.67,Low
188,34,13.4,Gurugram,0.556,0.436,Home,6.91,0.75,0,Tesla,0.665,High,62.34,High
189,26,20.13,Pune,0.542,0.342,Home,31.87,0.198,1,Tesla,0.654,High,59.98,Low
190,19,15.96,Bangalore,0.123,0.277,None,3.26,0.641,1,Tesla,0.76,High,72.15,Medium
191,30,11.37,Hyderabad,0.153,0.159,None,16.9,0.157,1,Tesla,0.888,Medium,63.23,Low
192,43,125.82,Chennai,0.357,0.329,None,42.06,0.56,0,Neutral,0.765,Medium,58.78,Medium
193,37,34.29,Pune,0.374,0.456,None,31.29,0.794,0,Tesla,0.37,Low,74.76,High
194,22,10.0,Delhi,0.43,0.409,None,34.47,0.038,1,Competitor,0.338,Low,69.5,Medium
195,36,11.97,Hyderabad,0.113,0.377,None,3.41,0.912,1,Competitor,0.714,Low,62.27,Low
196,38,16.94,Pune,0.079,0.319,None,15.89,0.1,0,Tesla,0.599,Medium,64.24,Low
197,26,22.8,Pune,0.438,0.176,Public,77.67,0.478,1,Neutral,0.865,High,53.92,Low
198,36,55.54,Gurugram,0.744,0.123,None,60.45,0.964,0,Competitor,0.774,Medium,62.84,Medium
199,35,39.43,Mumbai,0.322,0.485,Home,32.76,0.107,0,Competitor,0.269,High,45.79,Medium
200,23,33.6,Bangalore,0.415,0.333,None,27.4,0.571,0,Neutral,0.673,Medium,60.52,Low
201,38,10.0,Chennai,0.555,0.155,Public,1.3,0.282,1,Competitor,0.547,High,54.48,Low
202,40,49.1,Bangalore,0.381,0.269,None,41.24,0.814,0,Competitor,0.72,Medium,55.81,High
203,45,10.0,Bangalore,0.503,0.491,None,20.03,0.618,1,Neutral,0.628,Medium,61.17,Low
204,45,28.65,Delhi,0.495,0.117,None,12.39,0.676,1,Neutral,0.838,High,72.22,High
205,21,41.44,Pune,0.326,0.125,Home,10.01,0.919,0,Competitor,0.751,Medium,72.63,Low
206,25,42.51,Gurugram,0.291,0.465,Public,14.61,0.416,0,Competitor,0.874,Low,57.8,Low
207,40,37.49,Mumbai,0.462,0.422,None,134.55,0.947,0,Tesla,0.889,Low,75.0,Low
208,40,38.69,Delhi,0.56,0.329,None,3.51,0.452,1,Tesla,0.456,High,60.42,Low
209,40,36.36,Delhi,0.283,0.461,None,3.01,0.248,0,Competitor,1.0,Medium,45.0,Low
210,65,10.08,Chennai,0.248,0.596,None,7.03,0.126,0,Neutral,0.663,Medium,58.35,Low
211,40,10.0,Pune,0.299,0.104,None,32.36,0.525,1,Competitor,0.766,Medium,61.57,Low
212,46,59.6,Mumbai,0.503,0.352,None,8.06,0.966,1,Competitor,0.425,Medium,65.03,Low
213,44,60.2,Hyderabad,0.558,0.312,Home,92.2,0.276,1,Neutral,0.901,Medium,67.34,Low
214,41,13.23,Delhi,0.22,0.212,Home,2.74,0.471,1,Competitor,0.643,High,49.85,High
215,31,37.93,Gurugram,0.376,0.299,None,10.25,0.9,0,Competitor,0.807,High,56.33,Low
216,42,43.79,Gurugram,0.339,0.069,None,24.7,0.419,0,Neutral,0.954,High,56.51,Medium
217,27,33.64,Gurugram,0.153,0.371,None,35.06,0.367,0,Competitor,0.972,High,63.52,Medium
218,32,65.66,Mumbai,0.285,0.342,Home,37.42,0.587,1,Competitor,0.442,Medium,56.1,Low
219,30,,Chennai,0.302,0.124,None,10.41,0.723,1,Competitor,0.665,Medium,56.05,Low
220,35,25.12,Delhi,0.334,0.228,Home,11.04,0.748,1,Competitor,0.638,Medium,60.71,Medium
221,58,66.15,Hyderabad,0.539,0.044,None,47.59,0.229,0,Competitor,0.317,Medium,64.32,Low
222,18,10.37,Delhi,0.369,0.216,Home,48.22,0.051,1,Neutral,0.89,Medium,75.0,Low
223,41,58.01,Pune,0.556,0.352,None,18.45,0.896,1,Neutral,0.676,Medium,69.8,Medium
224,18,88.02,Hyderabad,0.456,0.276,Public,101.05,0.78,1,Tesla,0.495,High,60.63,Medium
225,30,48.27,Hyderabad,0.195,0.144,None,3.18,0.553,1,Competitor,0.588,Low,65.5,Low
226,45,31.7,Pune,0.258,0.321,Home,19.76,0.949,0,Neutral,0.429,Medium,56.21,High
227,35,10.8,Chennai,0.372,0.544,None,20.83,0.914,1,Tesla,0.74,High,66.74,Low
228,24,37.79,Delhi,0.233,0.208,Home,19.28,0.472,1,Competitor,0.527,High,55.59,Medium
229,27,18.21,Hyderabad,0.478,0.512,Public,19.69,0.58,1,Competitor,0.61,Medium,72.69,High
230,41,26.65,Gurugram,0.366,0.3,Home,29.55,0.704,1,Competitor,0.584,High,66.13,High
231,27,43.3,Hyderabad,0.268,0.239,None,0.82,0.498,0,Tesla,0.951,Low,62.02,Medium
232,37,16.13,Hyderabad,0.313,0.32,None,69.38,0.25,1,Tesla,0.482,Medium,75.0,Low
233,35,12.43,Gurugram,0.504,0.163,None,4.08,0.709,1,Tesla,0.572,Low,54.2,High
234,28,21.64,Chennai,0.569,0.255,None,41.39,0.59,1,Neutral,0.537,High,58.27,Medium
235,56,81.6,Gurugram,0.387,0.119,Home,56.79,0.693,1,Neutral,0.663,High,61.46,High
236,41,43.93,Delhi,0.664,0.161,Home,22.12,0.384,1,Competitor,0.707,Medium,58.99,High
237,18,17.99,Chennai,0.267,0.119,None,2.99,0.649,1,Neutral,0.561,Low,49.68,High
238,36,19.66,Delhi,0.682,0.184,Home,0.65,0.456,0,Neutral,0.639,Low,53.73,Medium
239,28,72.01,Chennai,0.345,0.365,None,22.71,0.141,1,Competitor,0.583,Low,56.3,Medium
240,43,10.0,Delhi,0.365,0.082,Public,0.71,0.039,0,Tesla,0.359,Medium,46.54,Medium
241,27,80.47,Delhi,0.567,0.183,Home,48.81,0.834,1,Neutral,0.725,High,69.78,Low
242,33,15.62,Delhi,0.132,0.507,Home,13.56,0.807,1,Neutral,0.881,High,50.6,Medium
243,40,78.29,Bangalore,0.467,0.167,Home,0.52,0.094,1,Neutral,0.736,Medium,66.06,High
244,43,59.33,Mumbai,0.472,0.493,None,16.27,0.196,1,Neutral,0.389,Medium,53.96,Medium
245,22,13.98,Pune,0.407,0.696,None,29.88,0.647,0,Competitor,0.836,Low,60.8,Low
246,31,53.23,Delhi,0.134,0.463,Public,82.02,0.594,0,Neutral,0.352,High,53.33,High
247,30,10.0,Bangalore,0.523,0.106,Home,1.55,0.542,1,Neutral,0.363,Low,58.38,High
248,28,67.42,Mumbai,0.224,0.713,None,4.36,0.199,0,Neutral,0.809,Low,53.69,Medium
249,52,13.68,Mumbai,0.391,0.311,None,27.77,0.221,0,Neutral,0.449,High,56.27,Medium
250,39,67.53,Gurugram,0.19,0.538,Public,14.03,0.44,0,Competitor,0.688,High,75.0,High
251,22,10.1,Pune,0.673,0.388,None,13.25,0.7,0,Competitor,0.265,Medium,60.88,High
252,44,14.51,Pune,0.351,0.161,None,7.52,0.635,0,Competitor,0.669,Medium,68.0,Low
253,56,93.99,Bangalore,0.655,0.078,Public,23.44,0.377,0,Neutral,0.336,High,71.38,Medium
254,45,47.29,Mumbai,0.569,0.385,Public,32.01,0.721,0,Tesla,0.491,High,51.62,High
255,19,15.79,Mumbai,0.277,0.428,Home,9.56,0.61,1,Competitor,0.769,Medium,45.0,High
256,30,40.62,Hyderabad,0.625,0.225,Public,58.75,0.114,1,Tesla,0.728,High,68.03,Medium
257,47,39.95,Pune,0.314,0.265,None,26.77,0.902,1,Neutral,0.463,High,51.42,Low
258,27,27.78,Gurugram,0.234,0.441,Home,40.75,0.976,1,Competitor,0.413,High,60.02,Medium
